orbit1 orbit2 k3 k2 k1 tau DenDen error
1 1 0 1 10 18 0.46776124 0.00590735
1 1 0 1 10 19 0.48687998 0.00461652
1 1 0 1 10 20 0.49229650 0.00720394
1 1 0 1 11 0 0.45119330 0.00339121
1 1 0 1 11 1 0.44477727 0.00499709
1 1 0 1 11 2 0.44437892 0.00531576
1 1 0 1 11 3 0.43147489 0.00381645
1 1 0 1 11 4 0.42815325 0.00583047
1 1 0 1 11 5 0.42772227 0.00394794
1 1 0 1 11 6 0.42135813 0.00319159
1 1 0 1 11 7 0.41718157 0.00471196
1 1 0 1 11 8 0.41544779 0.00500791
1 1 0 1 11 9 0.40854781 0.00638078
1 1 0 1 11 10 0.41287909 0.00428829
1 1 0 1 11 11 0.42345591 0.00609666
1 1 0 1 11 12 0.41613480 0.00351854
1 1 0 1 11 13 0.42301247 0.00428015
1 1 0 1 11 14 0.41427117 0.00475445
1 1 0 1 11 15 0.42645109 0.00546438
1 1 0 1 11 16 0.42920267 0.00215593
1 1 0 1 11 17 0.43714708 0.00567928
1 1 0 1 11 18 0.43375587 0.00452251
1 1 0 1 11 19 0.43941897 0.00426713
1 1 0 1 11 20 0.45119330 0.00339121
1 1 0 2 0 0 0.47820848 0.00387051
1 1 0 2 0 1 0.46044855 0.00411424
1 1 0 2 0 2 0.45567645 0.00763420
1 1 0 2 0 3 0.43880494 0.00523137
1 1 0 2 0 4 0.42794320 0.00522827
1 1 0 2 0 5 0.43348646 0.00632396
1 1 0 2 0 6 0.42938687 0.00527166
1 1 0 2 0 7 0.42201126 0.00717823
1 1 0 2 0 8 0.42265162 0.00365671
1 1 0 2 0 9 0.41912419 0.00419868
1 1 0 2 0 10 0.41749067 0.00349660
1 1 0 2 0 11 0.41190927 0.00753636
1 1 0 2 0 12 0.42098645 0.00724679
1 1 0 2 0 13 0.42094812 0.00675478
1 1 0 2 0 14 0.42028541 0.00365195
1 1 0 2 0 15 0.43697814 0.00669248
1 1 0 2 0 16 0.44076657 0.00602778
1 1 0 2 0 17 0.44683065 0.00669498
1 1 0 2 0 18 0.45028596 0.00569953
1 1 0 2 0 19 0.46407985 0.00597556
1 1 0 2 0 20 0.47820848 0.00387051
1 1 0 2 1 0 0.49417668 0.00421531
1 1 0 2 1 1 0.47730244 0.00522126
1 1 0 2 1 2 0.46932813 0.00617505
1 1 0 2 1 3 0.44870900 0.00599834
1 1 0 2 1 4 0.45096794 0.00575454
1 1 0 2 1 5 0.43731526 0.00668670
1 1 0 2 1 6 0.43946761 0.00631892
1 1 0 2 1 7 0.42964825 0.00682451
1 1 0 2 1 8 0.42338331 0.00507560
1 1 0 2 1 9 0.41861587 0.00673616
1 1 0 2 1 10 0.42592542 0.00506287
1 1 0 2 1 11 0.42676219 0.00523670
1 1 0 2 1 12 0.43077795 0.00568009
1 1 0 2 1 13 0.42444141 0.00764415
1 1 0 2 1 14 0.43036770 0.00747498
1 1 0 2 1 15 0.44654864 0.00475814
1 1 0 2 1 16 0.43730060 0.00735451
1 1 0 2 1 17 0.44666577 0.00584223
1 1 0 2 1 18 0.46426313 0.00380641
1 1 0 2 1 19 0.47764231 0.00342110
1 1 0 2 1 20 0.49417668 0.00421531
1 1 0 2 2 0 0.52019095 0.00394993
1 1 0 2 2 1 0.50505111 0.00449855
1 1 0 2 2 2 0.48250344 0.00554357
1 1 0 2 2 3 0.46785076 0.00405654
1 1 0 2 2 4 0.45105524 0.00425615
1 1 0 2 2 5 0.44982503 0.00396509
1 1 0 2 2 6 0.43560475 0.00360192
1 1 0 2 2 7 0.42086240 0.00526278
1 1 0 2 2 8 0.41618817 0.00443723
1 1 0 2 2 9 0.42795279 0.00410232
1 1 0 2 2 10 0.42441238 0.00278970
1 1 0 2 2 11 0.41647648 0.00460297
1 1 0 2 2 12 0.42551599 0.00617880
1 1 0 2 2 13 0.43243282 0.00606698
1 1 0 2 2 14 0.43114194 0.00460602
1 1 0 2 2 15 0.43936843 0.00577098
1 1 0 2 2 16 0.45359391 0.00458795
1 1 0 2 2 17 0.45898785 0.00423727
1 1 0 2 2 18 0.48593881 0.00845772
1 1 0 2 2 19 0.50352798 0.00407849
1 1 0 2 2 20 0.52019095 0.00394993
1 1 0 2 3 0 0.58796219 0.00840566
1 1 0 2 3 1 0.55539724 0.00670242
1 1 0 2 3 2 0.52292036 0.00786836
1 1 0 2 3 3 0.49847560 0.00835964
1 1 0 2 3 4 0.48385667 0.00666399
1 1 0 2 3 5 0.46846887 0.00836432
1 1 0 2 3 6 0.46416099 0.00598476
1 1 0 2 3 7 0.45344888 0.00727961
1 1 0 2 3 8 0.44445779 0.00905129
