orbit1 orbit2 r3 r2 r1 tau DenDen error
1 1 0 1 9 9 0.99881929 0.00258957
1 1 0 1 9 10 1.00000620 0.00258841
1 1 0 1 9 11 0.99915235 0.00266552
1 1 0 1 9 12 1.00003661 0.00271995
1 1 0 1 9 13 0.99893195 0.00256096
1 1 0 1 9 14 0.99980018 0.00269425
1 1 0 1 9 15 0.99882067 0.00243187
1 1 0 1 9 16 0.99967235 0.00259290
1 1 0 1 9 17 1.00033770 0.00248400
1 1 0 1 9 18 1.00021731 0.00278907
1 1 0 1 9 19 1.00027684 0.00252835
1 1 0 1 9 20 0.99902495 0.00252379
1 1 0 1 10 0 0.99923308 0.00253347
1 1 0 1 10 1 0.99924434 0.00238709
1 1 0 1 10 2 0.99965239 0.00245321
1 1 0 1 10 3 0.99803482 0.00225765
1 1 0 1 10 4 0.99879740 0.00243168
1 1 0 1 10 5 0.99954899 0.00241018
1 1 0 1 10 6 0.99991873 0.00245070
1 1 0 1 10 7 0.99846681 0.00267694
1 1 0 1 10 8 0.99910813 0.00256818
1 1 0 1 10 9 0.99974866 0.00245689
1 1 0 1 10 10 0.99931260 0.00220372
1 1 0 1 10 11 0.99866988 0.00253072
1 1 0 1 10 12 0.99971415 0.00248364
1 1 0 1 10 13 0.99879392 0.00254503
1 1 0 1 10 14 0.99969990 0.00251429
1 1 0 1 10 15 0.99930768 0.00242986
1 1 0 1 10 16 0.99902153 0.00238263
1 1 0 1 10 17 0.99815464 0.00220215
1 1 0 1 10 18 0.99882407 0.00263257
1 1 0 1 10 19 0.99914314 0.00224289
1 1 0 1 10 20 0.99923308 0.00253347
1 1 0 1 11 0 1.00378537 0.00240675
1 1 0 1 11 1 1.00459426 0.00248411
1 1 0 1 11 2 1.00543616 0.00248050
1 1 0 1 11 3 1.00530700 0.00252669
1 1 0 1 11 4 1.00617103 0.00237983
1 1 0 1 11 5 1.00698853 0.00234957
1 1 0 1 11 6 1.00791032 0.00229589
1 1 0 1 11 7 1.00698185 0.00273872
1 1 0 1 11 8 1.00769025 0.00260876
1 1 0 1 11 9 1.00747816 0.00267722
1 1 0 1 11 10 1.00787449 0.00249491
1 1 0 1 11 11 1.00854220 0.00270069
1 1 0 1 11 12 1.00645051 0.00225507
1 1 0 1 11 13 1.00678998 0.00248641
1 1 0 1 11 14 1.00659205 0.00246572
1 1 0 1 11 15 1.00626329 0.00238596
1 1 0 1 11 16 1.00653581 0.00246971
1 1 0 1 11 17 1.00466739 0.00227321
1 1 0 1 11 18 1.00508729 0.00251902
1 1 0 1 11 19 1.00383725 0.00240569
1 1 0 1 11 20 1.00378537 0.00240675
1 1 0 2 0 0 0.99946838 0.00260167
1 1 0 2 0 1 1.00008900 0.00242447
1 1 0 2 0 2 1.00092087 0.00249636
1 1 0 2 0 3 1.00106088 0.00273634
1 1 0 2 0 4 1.00063477 0.00230336
1 1 0 2 0 5 1.00044490 0.00224609
1 1 0 2 0 6 1.00130797 0.00244917
1 1 0 2 0 7 1.00099410 0.00263749
1 1 0 2 0 8 1.00002359 0.00256111
1 1 0 2 0 9 1.00109472 0.00259846
1 1 0 2 0 10 1.00063256 0.00239589
1 1 0 2 0 11 1.00137557 0.00266833
